"created_at,""text""";;;
"Sat Nov 14 00:38:28 +0000 2015,""So now I think my tv problem is with @VerizonSupport. Help me! Why isn't my cable working?""";;;
"Sat Nov 14 01:37:41 +0000 2015,""@TMobile is looking better and better.  https://t.co/Wy7qyJjxdD""";;;
"Sat Nov 14 01:54:06 +0000 2015,""RT @oliviamunn: Hey @tmobile, total guess but you really like pink, huh? #BingeOn #UncarrierX https://t.co/vVOKpBzAri""";;;
"Sat Nov 14 00:05:25 +0000 2015,""@hulu Shaken not stirred @_wolfley87""";;;
"Fri Nov 13 20:55:20 +0000 2015,""@verizon @FuZionDevouR Verison To the rescue!""";;;
"Fri Nov 13 21:05:57 +0000 2015,""R u kidding me ??? $20 activation fee for @verizon now ??? Definitely switching thinking about switching now""";;;
"Fri Nov 13 19:44:30 +0000 2015,""@VZWSupport I'm charged too much for data and I have to pay a fee for going over whereas t-mobile has unlimited everything.""";;;
"Fri Nov 13 21:37:49 +0000 2015,""PSA: Both seasons of Frisky Dingo are on @hulu. If you like Archer, you'll love Frisky Dingo.""";;;
"Sat Nov 14 00:26:50 +0000 2015,""I just entered to win the new #HTCOneA9 @ATT""";;;
"Fri Nov 13 21:50:34 +0000 2015,""@comcast customer support was no help. I can read my bill. Not happy that the """"savings"""" was too good to be true.""";;;
"Fri Nov 13 23:28:41 +0000 2015,""I just entered to WIN TMN's """"#Hulu Plus Membership #Giveaway"""" via @TMNMovies #Movies #Streaming - Enter Here: https://t.co/EAUTg4DJwe""";;;
"Fri Nov 13 20:46:49 +0000 2015,""@ATTCares @SamsungSupport also, the device MUST be covered by att. IT has att logo. You guys need to cover it so as @SamsungSupport""";;;
"Fri Nov 13 21:51:54 +0000 2015,""RT @DIRECTV: Join us tonight live from the @ATT Gala Night Red Carpet with @Jess_lizama. No dress or tux required. #AFIFEST https://t.co/Qw�""";;;
"Fri Nov 13 19:03:32 +0000 2015,""@ATTCares I would like an email address for a supervisor at AT T billing.""";;
"Fri Nov 13 22:41:41 +0000 2015,""Normally when garbage @comcast dies I'm not too upset until I realize the only thing between my clients   I is the sketchy @ATT network #4G""";;
"Fri Nov 13 18:57:03 +0000 2015,""RT @JohnLegere: .@Verizon follows our lead to get rid of 2yr service contracts but then F* ^s it up with an activation fee. COME ON! https:�""";;
"Fri Nov 13 23:12:40 +0000 2015,"".@ATT why am I getting ATT Live notifications now?""";;;
"Fri Nov 13 20:37:05 +0000 2015,""#Tablets aren't just for adults. Meet The #Ellipsis Kids Tablet by #Verizon https://t.co/knWYVWhrR0   #KidsTech https://t.co/ZVVF2MG8yw""";;;
"Fri Nov 13 23:01:26 +0000 2015,""I just checked in @ATT with #mPLACES  Download today!  https://t.co/jCAKiu1YVv""";;;
"Fri Nov 13 20:41:20 +0000 2015,""4 hours and still nothing solved. Someone save me from Friday the 13th. #ATT #samsung #samsungs5 #crackedscreen""";;;
"Fri Nov 13 22:37:45 +0000 2015,""#Hulu in Talks to Sell Stake to Time Warner https://t.co/qPV0k9vEX7 https://t.co/eI6GoDWxVi""";;;
"Fri Nov 13 22:32:40 +0000 2015,""Watch @Brittanysnow #cjwilson @ijustine @LilJon @SamRichardson @Zedd @DexterFowler #UncarrierX #TMobile... https://t.co/yAbbFYz5a4""";;;
"Fri Nov 13 19:41:53 +0000 2015,""@verizon please #MakeMyGameDay https://t.co/nUZDMFUFp7""";;;
"Sat Nov 14 00:43:07 +0000 2015,""I just checked in @ATT with #mPLACES  Download today!  https://t.co/9DQeyxc1se""";;;
"Fri Nov 13 21:48:43 +0000 2015,""@VZWSupport David Small Executive Vice President is aware of this and had the audacity to deny us the letter. CEO please help us! @NBCNews""";;;
"Fri Nov 13 23:38:56 +0000 2015,""@mcdonaghm @ATTCares direct TV made me an extremely good offer""";;;
"Fri Nov 13 21:46:43 +0000 2015,""I just entered to win the new #HTCOneA9 @ATT""";;;
"Sat Nov 14 00:15:53 +0000 2015,""@hulu do you have Teen Titans?""";;;
"Sat Nov 14 01:03:51 +0000 2015,""@GopherHockey @Comcast isn't showing anything on channel 999. #hockeybroadcastfail""";;;
"Sat Nov 14 01:20:10 +0000 2015,""@TMobile can u guys improve your signal indoors warehouse with open doors and I get no signal but when I walk outside I get 4g n full bars""";;;
"Fri Nov 13 21:55:34 +0000 2015,"".@comcast you should hire more elizabeths. was on the verge of switching before she provided the best customer experience i've had with you""";;;
"Fri Nov 13 20:14:49 +0000 2015,""RT @Bluebellishome: .@hulu @hulu_support  Yes! Make it happen,please #SaveHartOfDixie #HartOfDixie  #rachelbilson https://t.co/MVaxdjkUSu""";;;
"Fri Nov 13 21:55:35 +0000 2015,""I just entered to win the new #HTCOneA9 @ATT""";;;
"Fri Nov 13 21:52:50 +0000 2015,""@comcastcares yesterday my internet speed was upgraded but now almost all my TV channels are now missing. Can you take a look?""";;;
"Fri Nov 13 19:15:50 +0000 2015,""Waiting for my chemo chair   happy I can watch TV anywhere thanks to @verizon as #vzwbuzz""";;
